Lattice_constant Volume Total_energy Pressure
5.20 3796.416 -912.466915316486 160211.945635913
5.25 3906.984375 -922.101263772668 119727.759972931
5.30 4019.679 -929.196740750596 82691.3113434436
5.35 4134.520125 -933.887890491643 48813.1895360428
5.40 4251.528 -936.301045644875 17831.2256919691
5.45 4370.722875 -936.555026049647 -10491.7708822009
5.50 4492.125 -934.761791433763 -36370.4601042864
5.55 4615.754625 -931.027049154083 -59999.1533530286
5.60 4741.632 -925.450821628816 -81553.7608947733
5.65 4869.777375 -918.127977694325 -101193.531159671
5.70 5000.211 -909.14873174739 -119062.605324314
